text,timestamp,concept_name,explanation_of_concept,education_level
probability and the famous triumph of mid 20th century physics was to show that you can do that and get a finite answer if you're sloppy about it your answer turns out to be infinity and your and your theory is on the wrong track everything that we know about in the physical world has a nice finite answer in this quantum mechanical realm except for gravity gravity doesn't fit and indeed it was recognized pretty quickly that there was a good reason why gravity doesn't fit and it was almost impossible,15:33-15:56,Quantum Mechanics,"A branch of physics that studies the behavior of matter and energy at the smallest scales, where probability plays a key role.",Undergraduate
probability and the famous triumph of mid 20th century physics was to show that you can do that and get a finite answer if you're sloppy about it your answer turns out to be infinity and your and your theory is on the wrong track everything that we know about in the physical world has a nice finite answer in this quantum mechanical realm except for gravity gravity doesn't fit and indeed it was recognized pretty quickly that there was a good reason why gravity doesn't fit and it was almost impossible,15:33-15:56,Gravity,A fundamental force of nature that causes objects with mass to attract each other.,High School
to imagine fitting gravity in namely that gravity interacts with everything gravity interacts with photons with electrons with quarks with whatever and so when you do this scattering experiment you do the calculation everything in the universe contributes to the infinitely big answer that you don't want to get apparently what you would need is some kind of miraculous cancellation between all the different contributions from all the different fields and people looked at that and,16:02-16:26,Gravity,"a fundamental force of nature that interacts with everything, including photons, electrons, quarks, etc.",Undergraduate
to imagine fitting gravity in namely that gravity interacts with everything gravity interacts with photons with electrons with quarks with whatever and so when you do this scattering experiment you do the calculation everything in the universe contributes to the infinitely big answer that you don't want to get apparently what you would need is some kind of miraculous cancellation between all the different contributions from all the different fields and people looked at that and,16:02-16:26,Scattering Experiment,an experiment to study the interaction between particles and fields,Graduate
"said ""We have no idea how to make that happen let's not worry about quantum gravity."" And then string theory comes along and again it wasn't even trying to be a theory of gravity but when they do this calculation the miraculous cancellation happens in string theory you get a finite answer to what happens when you scatter different particles off of each other that is right now the only theory in which that miraculous uh happening actually works and this was finally put together as a sort of sensible viable theory in the mid 1980s",16:31-16:57,Quantum Gravity,"The study of gravity at the quantum level, where general relativity and quantum mechanics intersect.",Undergraduate
"said ""We have no idea how to make that happen let's not worry about quantum gravity."" And then string theory comes along and again it wasn't even trying to be a theory of gravity but when they do this calculation the miraculous cancellation happens in string theory you get a finite answer to what happens when you scatter different particles off of each other that is right now the only theory in which that miraculous uh happening actually works and this was finally put together as a sort of sensible viable theory in the mid 1980s",16:31-16:57,String Theory,A theoretical framework that attempts to reconcile quantum mechanics and general relativity by postulating that particles are one-dimensional strings rather than point-like objects.,Graduate
uh and it was a calculation by John Schwarz and Michael Green that showed that it the theory did not have what are called anomalies and you can look up the magazines at the time physics Today ran an article saying anomaly cancellation launches super string string bandwagon the point is the reason why I had to go into those details is many many physicists instantly became interested in string theory and quantum gravity who were not before but the reason they did is not because Ed Whitten is a smart guy,17:06-17:31,Anomaly Cancellation,"A process that eliminates anomalies in string theory, making it more viable.",Undergraduate
uh and it was a calculation by John Schwarz and Michael Green that showed that it the theory did not have what are called anomalies and you can look up the magazines at the time physics Today ran an article saying anomaly cancellation launches super string string bandwagon the point is the reason why I had to go into those details is many many physicists instantly became interested in string theory and quantum gravity who were not before but the reason they did is not because Ed Whitten is a smart guy,17:06-17:31,String Theory,A theoretical framework that attempts to unify the principles of quantum mechanics and general relativity.,Graduate
uh and it was a calculation by John Schwarz and Michael Green that showed that it the theory did not have what are called anomalies and you can look up the magazines at the time physics Today ran an article saying anomaly cancellation launches super string string bandwagon the point is the reason why I had to go into those details is many many physicists instantly became interested in string theory and quantum gravity who were not before but the reason they did is not because Ed Whitten is a smart guy,17:06-17:31,Quantum Gravity,"The application of quantum mechanics to the study of gravity, aiming to merge quantum theory with general relativity.",Graduate
"and he towers over the field it's because there was a calculation that showed the theory is promising physicists are not sheep if Ed Whitten had said ""We should all work on this,"" but everyone else looked at it and thought it wasn't very promising he would have been ignored but since then there's no competitor to string theory that has had that miraculous feature that string theory has and just before I go to Eric to respond to that your belief is as a result of all this it is more likely than not that there are",17:36-18:01,String Theory,a theoretical framework in physics that attempts to reconcile quantum mechanics and general relativity by proposing that the fundamental building blocks of the universe are one-dimensional strings rather than point-like particles.,Undergraduate
"and he towers over the field it's because there was a calculation that showed the theory is promising physicists are not sheep if Ed Whitten had said ""We should all work on this,"" but everyone else looked at it and thought it wasn't very promising he would have been ignored but since then there's no competitor to string theory that has had that miraculous feature that string theory has and just before I go to Eric to respond to that your belief is as a result of all this it is more likely than not that there are",17:36-18:01,Quantum Mechanics,"a branch of physics that studies the behavior of matter and energy at the smallest scales, where the principles of classical mechanics do not apply.",High School
"and he towers over the field it's because there was a calculation that showed the theory is promising physicists are not sheep if Ed Whitten had said ""We should all work on this,"" but everyone else looked at it and thought it wasn't very promising he would have been ignored but since then there's no competitor to string theory that has had that miraculous feature that string theory has and just before I go to Eric to respond to that your belief is as a result of all this it is more likely than not that there are",17:36-18:01,General Relativity,a theory of gravitation developed by Albert Einstein that describes gravity as the curvature of spacetime caused by massive objects.,Undergraduate
there's a multiverse there are many other worlds i'm not misrepresenting my own uh well you're in the you're you're saying true things for the wrong reasons it's what philosophers call a getier problem um I'm a believer in uh the many worlds interpretation of quantum mechanics that's a question about the foundations of quantum mechanics which again goes back to the 1950s but that is more or less separate from the question of which model within the world of quantum mechanics is the right one is it field theory is it string theory is it loop quantum gravity is is it something else so I I do believe that the best,18:06-18:35,Many Worlds Interpretation,A concept in quantum mechanics where every possible outcome of a measurement occurs in a separate universe.,Undergraduate
there's a multiverse there are many other worlds i'm not misrepresenting my own uh well you're in the you're you're saying true things for the wrong reasons it's what philosophers call a getier problem um I'm a believer in uh the many worlds interpretation of quantum mechanics that's a question about the foundations of quantum mechanics which again goes back to the 1950s but that is more or less separate from the question of which model within the world of quantum mechanics is the right one is it field theory is it string theory is it loop quantum gravity is is it something else so I I do believe that the best,18:06-18:35,Gettier Problem,A problem in epistemology that questions the nature of knowledge and how it is acquired.,Graduate
there's a multiverse there are many other worlds i'm not misrepresenting my own uh well you're in the you're you're saying true things for the wrong reasons it's what philosophers call a getier problem um I'm a believer in uh the many worlds interpretation of quantum mechanics that's a question about the foundations of quantum mechanics which again goes back to the 1950s but that is more or less separate from the question of which model within the world of quantum mechanics is the right one is it field theory is it string theory is it loop quantum gravity is is it something else so I I do believe that the best,18:06-18:35,Quantum Mechanics,A branch of physics that studies the behavior of matter and energy at the smallest scales.,High School
there's a multiverse there are many other worlds i'm not misrepresenting my own uh well you're in the you're you're saying true things for the wrong reasons it's what philosophers call a getier problem um I'm a believer in uh the many worlds interpretation of quantum mechanics that's a question about the foundations of quantum mechanics which again goes back to the 1950s but that is more or less separate from the question of which model within the world of quantum mechanics is the right one is it field theory is it string theory is it loop quantum gravity is is it something else so I I do believe that the best,18:06-18:35,Field Theory,"A theoretical framework in physics that describes the behavior of fields, such as electromagnetic fields.",Undergraduate
there's a multiverse there are many other worlds i'm not misrepresenting my own uh well you're in the you're you're saying true things for the wrong reasons it's what philosophers call a getier problem um I'm a believer in uh the many worlds interpretation of quantum mechanics that's a question about the foundations of quantum mechanics which again goes back to the 1950s but that is more or less separate from the question of which model within the world of quantum mechanics is the right one is it field theory is it string theory is it loop quantum gravity is is it something else so I I do believe that the best,18:06-18:35,String Theory,A theoretical framework in physics that attempts to unify the fundamental forces of nature by postulating the existence of one-dimensional strings.,Graduate
there's a multiverse there are many other worlds i'm not misrepresenting my own uh well you're in the you're you're saying true things for the wrong reasons it's what philosophers call a getier problem um I'm a believer in uh the many worlds interpretation of quantum mechanics that's a question about the foundations of quantum mechanics which again goes back to the 1950s but that is more or less separate from the question of which model within the world of quantum mechanics is the right one is it field theory is it string theory is it loop quantum gravity is is it something else so I I do believe that the best,18:06-18:35,Loop Quantum Gravity,A theoretical framework in physics that attempts to merge quantum mechanics and general relativity by describing space as a network of loops.,Graduate
understanding of quantum mechanics we have right now implies the existence of parallel universes again that could be true and if we have a better theory that comes along I'm happy to change my mind there's also a separate idea of the multiverse that comes with combining string theory with inflationary cosmology a scenario of what happened very close to the big bang so those are two different ideas about the multiverse many worlds of quantum mechanics says literally every time I make a quantum measurement now there's two worlds in,18:42-19:08,Multiverse,"A hypothetical set of multiple universes, possibly with different physical laws and properties.",Undergraduate
understanding of quantum mechanics we have right now implies the existence of parallel universes again that could be true and if we have a better theory that comes along I'm happy to change my mind there's also a separate idea of the multiverse that comes with combining string theory with inflationary cosmology a scenario of what happened very close to the big bang so those are two different ideas about the multiverse many worlds of quantum mechanics says literally every time I make a quantum measurement now there's two worlds in,18:42-19:08,Quantum Mechanics,"A branch of physics that studies the behavior of matter and energy at the smallest scales, where quantum effects are significant.",High School
understanding of quantum mechanics we have right now implies the existence of parallel universes again that could be true and if we have a better theory that comes along I'm happy to change my mind there's also a separate idea of the multiverse that comes with combining string theory with inflationary cosmology a scenario of what happened very close to the big bang so those are two different ideas about the multiverse many worlds of quantum mechanics says literally every time I make a quantum measurement now there's two worlds in,18:42-19:08,String Theory,A theoretical framework in physics that attempts to reconcile quantum mechanics and general relativity by postulating that particles are one-dimensional strings rather than point-like objects.,Graduate
understanding of quantum mechanics we have right now implies the existence of parallel universes again that could be true and if we have a better theory that comes along I'm happy to change my mind there's also a separate idea of the multiverse that comes with combining string theory with inflationary cosmology a scenario of what happened very close to the big bang so those are two different ideas about the multiverse many worlds of quantum mechanics says literally every time I make a quantum measurement now there's two worlds in,18:42-19:08,Inflationary Cosmology,"A theory of the early universe that suggests it underwent a rapid expansion in the first fraction of a second after the Big Bang, smoothing out any irregularities.",Graduate
understanding of quantum mechanics we have right now implies the existence of parallel universes again that could be true and if we have a better theory that comes along I'm happy to change my mind there's also a separate idea of the multiverse that comes with combining string theory with inflationary cosmology a scenario of what happened very close to the big bang so those are two different ideas about the multiverse many worlds of quantum mechanics says literally every time I make a quantum measurement now there's two worlds in,18:42-19:08,Many-Worlds Interpretation,"A solution to the measurement problem in quantum mechanics that suggests every time a measurement is made, the universe splits into multiple branches or parallel universes.",Undergraduate
which different measurement outcomes were obtained the string theory multiverse says very very very far away in cosmological distance there's a patch of space where conditions look remarkably different than they do here if you're struggling with sleepless nights and exhausting days you might want to try Beam's Dream Powder beam is proudly founded in America and run by people who value hard work integrity and delivering results it's a healthy nighttime blend packed with sciencebacked ingredients to improve your sleep so you can wake up refreshed,19:13-19:39,Cosmological Distance,"A measure of the distance between objects in the universe, often expressed in units such as light-years or parsecs.",High School
which different measurement outcomes were obtained the string theory multiverse says very very very far away in cosmological distance there's a patch of space where conditions look remarkably different than they do here if you're struggling with sleepless nights and exhausting days you might want to try Beam's Dream Powder beam is proudly founded in America and run by people who value hard work integrity and delivering results it's a healthy nighttime blend packed with sciencebacked ingredients to improve your sleep so you can wake up refreshed,19:13-19:39,String Theory Multiverse,"A hypothetical concept in physics that proposes the existence of multiple universes beyond our own, each with its own unique set of physical laws and properties.",Undergraduate
and ready to take on the day dream is a powerful blend of all natural ingredients rayi epigenine elanine melatonin and magnesium it's designed to help you fall asleep and to stay asleep we've teamed up to give you a massive discount of up to 40% for a limited time so go to shopbeam.com/pers pers and use promo code peers at the checkout that's shopbeam.com/pers use promo code peers for up to 40% off sleep better wake up,19:45-20:14,,,
stronger and show up ready for your family your work and your country too okay Eric your response yeah I just got completely misprayed and this is uh actually I'm glad that this is happening because this is sort of what happens when you tangle with the group of people who are supportive of this program i did not say uh what I think Sean is choosing to either infer incorrectly or imply uh that somehow the world is not quantum mechanical or quantum field theoretic and that somehow gravity is given a hall pass to go home and enjoy relaxation,20:20-20:49,Quantum Mechanics,A branch of physics dealing with the behavior of matter and energy at an atomic and subatomic level.,Undergraduate
stronger and show up ready for your family your work and your country too okay Eric your response yeah I just got completely misprayed and this is uh actually I'm glad that this is happening because this is sort of what happens when you tangle with the group of people who are supportive of this program i did not say uh what I think Sean is choosing to either infer incorrectly or imply uh that somehow the world is not quantum mechanical or quantum field theoretic and that somehow gravity is given a hall pass to go home and enjoy relaxation,20:20-20:49,Quantum Field Theory,An extension of quantum mechanics that describes the behavior of fundamental particles in terms of fields rather than particles.,Graduate
where everyone else has to work hard what I said was that um the idea of forcing gravity to submit to the same quantization procedures that have been successfully applied to other forces and to matter uh has not worked it has stagnated the field and that quantum harmonization is far more important you could also decide to geometize the quantum rather than quantize gravity and thus quantize the geometry so because Sean's framework precludes somebody,20:56-21:24,Quantum Harmonization,"A theoretical approach that prioritizes the unification of forces, particularly in relation to gravity.",Graduate
where everyone else has to work hard what I said was that um the idea of forcing gravity to submit to the same quantization procedures that have been successfully applied to other forces and to matter uh has not worked it has stagnated the field and that quantum harmonization is far more important you could also decide to geometize the quantum rather than quantize gravity and thus quantize the geometry so because Sean's framework precludes somebody,20:56-21:24,Geometization of Quantum Mechanics,An alternative approach to quantizing gravity by focusing on the geometric aspects of quantum mechanics.,Graduate
saying something outside the framework the inference is is that someone ignorantly just said that gravity can be kept out of uh the quantum framework which I absolutely don't say you'll also notice that Shawn did not choose to take issue with the fact that one of these is a gauge theory and another one isn't a gauge theory and so that there is a problem with gauging gravity and what that means and the fact that we're getting no actual progress in the harmonization of gravity with the,21:29-21:54,Gauge Theory,"A mathematical framework used to describe symmetries in physical systems, often used in particle physics.",Undergraduate
saying something outside the framework the inference is is that someone ignorantly just said that gravity can be kept out of uh the quantum framework which I absolutely don't say you'll also notice that Shawn did not choose to take issue with the fact that one of these is a gauge theory and another one isn't a gauge theory and so that there is a problem with gauging gravity and what that means and the fact that we're getting no actual progress in the harmonization of gravity with the,21:29-21:54,Quantum Framework,"A theoretical framework that describes the behavior of matter and energy at the smallest scales, based on quantum mechanics principles.",Graduate
saying something outside the framework the inference is is that someone ignorantly just said that gravity can be kept out of uh the quantum framework which I absolutely don't say you'll also notice that Shawn did not choose to take issue with the fact that one of these is a gauge theory and another one isn't a gauge theory and so that there is a problem with gauging gravity and what that means and the fact that we're getting no actual progress in the harmonization of gravity with the,21:29-21:54,Gravity,"A fundamental force of nature that causes objects with mass to attract each other, described by Einstein's theory of general relativity.",Undergraduate
saying something outside the framework the inference is is that someone ignorantly just said that gravity can be kept out of uh the quantum framework which I absolutely don't say you'll also notice that Shawn did not choose to take issue with the fact that one of these is a gauge theory and another one isn't a gauge theory and so that there is a problem with gauging gravity and what that means and the fact that we're getting no actual progress in the harmonization of gravity with the,21:29-21:54,Harmonization of Gravity,"The process of reconciling the principles of quantum mechanics and general relativity, which describe gravity at different scales.",Graduate
quantum that can uh give us a green light and tell us where we're going like I would happily see to Shawn all sorts of things like the string theorists are by far the smarter group of uh all people trying to go beyond the standard model in general relativity i would further see that if the task is to quantize gravity directly the string theorists and the string theory program have been more successful but what you just saw is an example of what is actually going catastrophically wrong in the field that a dominant narrative that,22:01-22:25,Quantization of Gravity,"The process of applying quantum mechanics to the theory of gravity, specifically general relativity.",Undergraduate
quantum that can uh give us a green light and tell us where we're going like I would happily see to Shawn all sorts of things like the string theorists are by far the smarter group of uh all people trying to go beyond the standard model in general relativity i would further see that if the task is to quantize gravity directly the string theorists and the string theory program have been more successful but what you just saw is an example of what is actually going catastrophically wrong in the field that a dominant narrative that,22:01-22:25,String Theory,A theoretical framework in physics that attempts to reconcile quantum mechanics and general relativity by postulating that the fundamental building blocks of the universe are one-dimensional strings rather than point-like particles.,Graduate
quantum that can uh give us a green light and tell us where we're going like I would happily see to Shawn all sorts of things like the string theorists are by far the smarter group of uh all people trying to go beyond the standard model in general relativity i would further see that if the task is to quantize gravity directly the string theorists and the string theory program have been more successful but what you just saw is an example of what is actually going catastrophically wrong in the field that a dominant narrative that,22:01-22:25,General Relativity,"A theory of gravitation developed by Albert Einstein, which describes gravity as the curvature of spacetime caused by massive objects.",High School
has been proceverated into an as if reality has created two teams a smart team that gets it and a dumb team that just doesn't and that kind of toxic sociology is the true problem and my guess is that that will recur multiple times during this thing is that I will not be heard and that Shawn will continue to have a version of Eric that lives in his head uh which shares my name but not my understanding nor my beliefs and that is of course if we get past the hurdle of whether we're all,22:32-22:57,Sociology,"The study of human social behavior, relationships, and institutions.",High School
has been proceverated into an as if reality has created two teams a smart team that gets it and a dumb team that just doesn't and that kind of toxic sociology is the true problem and my guess is that that will recur multiple times during this thing is that I will not be heard and that Shawn will continue to have a version of Eric that lives in his head uh which shares my name but not my understanding nor my beliefs and that is of course if we get past the hurdle of whether we're all,22:32-22:57,Toxic Sociology,A negative or unhealthy aspect of social interactions or relationships.,Undergraduate
here at all um now Eric Eric you've come up with an alternative theory of everything it's based around geometric unity and my understanding is it's it's a proposed framework aiming to unify the fundamental forces of nature including gravity and quantum mechanics within a single geometric structure introducing a 14dimensional manifold that extends spaceime and embeds known particles and forces into a larger mathematical context and the observation we had here,23:02-23:28,Geometric Unity Theory,"A proposed framework aiming to unify fundamental forces of nature, including gravity and quantum mechanics, within a single geometric structure.",Graduate
here at all um now Eric Eric you've come up with an alternative theory of everything it's based around geometric unity and my understanding is it's it's a proposed framework aiming to unify the fundamental forces of nature including gravity and quantum mechanics within a single geometric structure introducing a 14dimensional manifold that extends spaceime and embeds known particles and forces into a larger mathematical context and the observation we had here,23:02-23:28,14-dimensional manifold,An extension of spacetime with additional dimensions that embeds known particles and forces into a larger mathematical context.,Graduate
in the research is that while ambitious the theory remains largely unpublished and peer-reviewed literature has not yet been formally tested or widely accepted by the physics community now because you're so uh smart about this stuff your geometric unity paper is 69 pages long extremely complex way over my head so we did what everyone in my position does these days we went on to YouTube and saw uh if we could find anybody who'd analyzed it and had a conclusion and we found this thank you to Eric Weinstein it's an,23:34-24:00,Geometric Unity,"A theoretical framework in physics that attempts to unify fundamental forces, proposed by Erik Brown but largely unpublished and not widely accepted.",Undergraduate
in the research is that while ambitious the theory remains largely unpublished and peer-reviewed literature has not yet been formally tested or widely accepted by the physics community now because you're so uh smart about this stuff your geometric unity paper is 69 pages long extremely complex way over my head so we did what everyone in my position does these days we went on to YouTube and saw uh if we could find anybody who'd analyzed it and had a conclusion and we found this thank you to Eric Weinstein it's an,23:34-24:00,Peer-reviewed literature,The process of reviewing scientific research by experts in the same field before publication to ensure validity and quality.,High School
avantgard and creative theory kurt here several months later this has been so long in the making gez you have no idea anyhow I wanted to say that I mean what I just said i may have said this before in the iceberg and if I haven't I should have because it bears repeating i haven't seen a theory like this come from any single individual ever not one that's this fleshed out or has this amount of unexampled connections within itself as well as to what's known as the,24:06-24:30,,,
theoretical physics backbone that we talked about earlier now Eric um there's lots of people doing stuff like that about it um why do you think that the mainstream physics world is not taking this seriously enough well first of all I disagree you see part of what's going on is that Shawn is part of a group of physics influencers who are constantly spreading misinformation which leads to a climate of fear um you know I I for example,24:35-24:58,Misinformation in Physics,"The spread of false or inaccurate information about scientific concepts, leading to confusion and skepticism among the general public.",Undergraduate
theoretical physics backbone that we talked about earlier now Eric um there's lots of people doing stuff like that about it um why do you think that the mainstream physics world is not taking this seriously enough well first of all I disagree you see part of what's going on is that Shawn is part of a group of physics influencers who are constantly spreading misinformation which leads to a climate of fear um you know I I for example,24:35-24:58,Climate of Fear,"A state of anxiety or apprehension that can arise when people are exposed to false or misleading information, leading them to question established scientific knowledge.",High School
found the following quote of Sean what I really really want to get across to the audience is that nobody in physics departments is discussing this with other people in physics departments now I don't happen to be coming to you from a physics department at the moment but I happen to be on a 5day visit to a leading physics department um and in this situation uh I just had a 9-hour conversation and talk with 3 hours or four hours rather,25:07-25:32,Physics Departments,A department within an academic institution that specializes in the study of physics.,Undergraduate
found the following quote of Sean what I really really want to get across to the audience is that nobody in physics departments is discussing this with other people in physics departments now I don't happen to be coming to you from a physics department at the moment but I happen to be on a 5day visit to a leading physics department um and in this situation uh I just had a 9-hour conversation and talk with 3 hours or four hours rather,25:07-25:32,Conservation of Energy,"The total energy of a closed system remains constant over time, but can be converted from one form to another.",High School
"of that being an explication of geometric unity what Shawn is doing constantly is attempting to say ""Look let's do some pattern matching we have a man uh generously in midlife he's not trained in the subject he doesn't appear to accept the quantum gravity program uh he appears to be possessed of the idea that a single individual Ed Whitten caused all sorts of people who aren't cheap uh to cohhere into a single framework that has been proverated and uh doesn't seem to produce fruit",25:37-26:05,Quantum Gravity,A theoretical framework in physics that attempts to merge quantum mechanics and general relativity.,Undergraduate
"of that being an explication of geometric unity what Shawn is doing constantly is attempting to say ""Look let's do some pattern matching we have a man uh generously in midlife he's not trained in the subject he doesn't appear to accept the quantum gravity program uh he appears to be possessed of the idea that a single individual Ed Whitten caused all sorts of people who aren't cheap uh to cohhere into a single framework that has been proverated and uh doesn't seem to produce fruit",25:37-26:05,Pattern Matching,A problem-solving technique used in mathematics and computer science to identify and apply known solutions to new problems.,High School
"of that being an explication of geometric unity what Shawn is doing constantly is attempting to say ""Look let's do some pattern matching we have a man uh generously in midlife he's not trained in the subject he doesn't appear to accept the quantum gravity program uh he appears to be possessed of the idea that a single individual Ed Whitten caused all sorts of people who aren't cheap uh to cohhere into a single framework that has been proverated and uh doesn't seem to produce fruit",25:37-26:05,Geometric Unity,A theoretical framework in physics that attempts to unify the fundamental forces of nature using geometric methods.,Graduate
um he has a telling of the tale that is first of all just not courageous it's it's at odds with reality uh from my experiences in this physics department um what I can tell you is that we have a situation in which everybody sees the problems and so when Sean does a 4-hour um podcast which I think maybe three hours I'd recommend to anybody because Sean is one of the best explainers and also extremely good at mathematics and,26:11-26:34,Physics Department,A department that deals with the study of physical phenomena and laws.,Undergraduate
um he has a telling of the tale that is first of all just not courageous it's it's at odds with reality uh from my experiences in this physics department um what I can tell you is that we have a situation in which everybody sees the problems and so when Sean does a 4-hour um podcast which I think maybe three hours I'd recommend to anybody because Sean is one of the best explainers and also extremely good at mathematics and,26:11-26:34,Mathematics,"The study of numbers, quantities, and shapes using mathematical language and methods.",High School/Undergraduate
keeping true to actual physics in terms of his understanding um you know he then goes into this thing that there is no crisis in theoretical physics and as one of my physics colleagues said last night the first rule of physics fight club is don't talk about the problems with physics fight club uh there is a self-evident crisis everybody I can show it to you numerically uh somehow the idea is that a small number of people who are either at the top of the physics influencer pile which is where I would put Shawn or,26:40-27:07,Crisis in Theoretical Physics,"A perceived crisis in the field of theoretical physics, characterized by a lack of progress and resolution to long-standing problems.",Undergraduate
keeping true to actual physics in terms of his understanding um you know he then goes into this thing that there is no crisis in theoretical physics and as one of my physics colleagues said last night the first rule of physics fight club is don't talk about the problems with physics fight club uh there is a self-evident crisis everybody I can show it to you numerically uh somehow the idea is that a small number of people who are either at the top of the physics influencer pile which is where I would put Shawn or,26:40-27:07,Physics Influencer Pile,"A colloquial term referring to the small group of influential physicists who dominate the field, often mentioned in the context of the crisis in theoretical physics.",High School
at the top of the uh prestige pile in research have held a view that is completely odds with reality which whose key feature is the exclusion of different perspectives ive so when for example I I can tell uh I can I probably can guess the AI pierce from which you got the analysis of geometric unity uh what you see is a very strange situation where a group of people go around attempting to throw shade on anyone who questions whether there's a massive,27:15-27:41,Exclusion of perspectives,"The exclusion of different viewpoints or opinions, often leading to a narrow-minded understanding of a subject.",Undergraduate
at the top of the uh prestige pile in research have held a view that is completely odds with reality which whose key feature is the exclusion of different perspectives ive so when for example I I can tell uh I can I probably can guess the AI pierce from which you got the analysis of geometric unity uh what you see is a very strange situation where a group of people go around attempting to throw shade on anyone who questions whether there's a massive,27:15-27:41,Geometric Unity,A concept in physics that attempts to unify the principles of geometry and space-time.,Graduate
problem in physics that everybody uh who's actually in the game uh can see with their own eyes now if you ask me what's going on with geometric unity I can say something very simply that because you have a very large viewership will go out to many people you won't understand it but I'll it'll be over very quickly and it should be an astounding comment if you take a Lorenzian metric as a section of a a bundle of pointwise Lorren metrics and pull back the vial positive vial,27:47-28:10,Lorenzian Metric,"A mathematical concept in differential geometry, used to describe spacetime curvature in general relativity.",Graduate
problem in physics that everybody uh who's actually in the game uh can see with their own eyes now if you ask me what's going on with geometric unity I can say something very simply that because you have a very large viewership will go out to many people you won't understand it but I'll it'll be over very quickly and it should be an astounding comment if you take a Lorenzian metric as a section of a a bundle of pointwise Lorren metrics and pull back the vial positive vial,27:47-28:10,Bundle of Pointwise Metrics,"A mathematical structure used to describe a collection of metrics on a manifold, often used in differential geometry and topology.",Graduate
spinners uh with suitable um passing to maximal compact subgroup you get one generation of petis salam grand unified firmians now that was very quick but what it really just said is that general relativity knows the standard model anybody of Shaun's ability should be able to parse that 202 sojourn and say is that something we know is that something that might be interesting then we what we'll have is we'll have the typical physicist large language model,28:15-28:40,Grand Unified Theory,"A theoretical framework that attempts to unify the strong, weak, and electromagnetic forces into a single force.",Graduate
spinners uh with suitable um passing to maximal compact subgroup you get one generation of petis salam grand unified firmians now that was very quick but what it really just said is that general relativity knows the standard model anybody of Shaun's ability should be able to parse that 202 sojourn and say is that something we know is that something that might be interesting then we what we'll have is we'll have the typical physicist large language model,28:15-28:40,General Relativity,A theory of gravitation developed by Albert Einstein that describes gravity as the curvature of spacetime caused by mass and energy.,Undergraduate
spinners uh with suitable um passing to maximal compact subgroup you get one generation of petis salam grand unified firmians now that was very quick but what it really just said is that general relativity knows the standard model anybody of Shaun's ability should be able to parse that 202 sojourn and say is that something we know is that something that might be interesting then we what we'll have is we'll have the typical physicist large language model,28:15-28:40,Standard Model,"A theoretical framework in particle physics that describes the behavior of fundamental particles and forces, including electromagnetism and the strong and weak nuclear forces.",Graduate
conversation in which physicists will ask do you have a new prediction at anything at electroeak scale which is a question that doesn't get asked to the string theorists so you have a differential treatment in which the physicists remember what physics used to be like in the mid- 20th century when they're hearing a competitor and they choose to forget it when they're hearing something that comes from this other community hence I think what you're going to find is if you look at this three-hour uh documentary that was just made on geometric unity which itself has,28:46-29:11,Electroweak scale,a scale in particle physics where the electromagnetic and weak forces unify,Undergraduate
conversation in which physicists will ask do you have a new prediction at anything at electroeak scale which is a question that doesn't get asked to the string theorists so you have a differential treatment in which the physicists remember what physics used to be like in the mid- 20th century when they're hearing a competitor and they choose to forget it when they're hearing something that comes from this other community hence I think what you're going to find is if you look at this three-hour uh documentary that was just made on geometric unity which itself has,28:46-29:11,Geometric Unity,a theoretical framework attempting to unify fundamental forces using geometric principles,Graduate
flaws by a person who does not have a PhD it evidences the highest level of understanding of geometric unity found in a second person over 41 years of trying to have conversations with physicists who tend to be polarized by one collection of theories led by a single individual now everybody knows how much I enjoy my tea and I'm very happy to say that today's show is sponsored by Peaks Pure Fermented Teas these are not your,29:17-29:41,Geometric Unity,A theoretical framework in physics attempting to unify fundamental forces and dimensions.,Undergraduate
flaws by a person who does not have a PhD it evidences the highest level of understanding of geometric unity found in a second person over 41 years of trying to have conversations with physicists who tend to be polarized by one collection of theories led by a single individual now everybody knows how much I enjoy my tea and I'm very happy to say that today's show is sponsored by Peaks Pure Fermented Teas these are not your,29:17-29:41,Polarization of Theories,"The tendency for physicists to be strongly influenced by a particular theory or individual, leading to a lack of open-mindedness towards alternative perspectives.",Graduate
average bruise they're sourced from 250-y old wild trees in the Himalayan foothills which are untouched by modern farming no pesticides no fertilizers just nature at its best pure delivers a full spectrum of prebiotics probiotics and postbiotics just like the fermented foods found in longevity hotspots it comes in crystal form so there's no messing around just dissolve sip and feel the difference it's trusted by health experts including Casey Means and Dr mark Mark Heyman there's teas for all,29:47-30:12,,,
occasions and they all support your gut health metabolism and cellular renewal the next time you put the kettle on ask yourself is my tea working as hard as me peaks pure fermented teas for the gut of a Brit and the longevity of a Himalayan monk get 20% off for life plus a free frother and glass beaker with the pure bundle visit peaklife.com/pers that's peak,30:19-30:44,,,
