index,speaker,start_time,end_time,duration,youtube_timestamps,text,concept_name,explanation_of_concept,education_level
43,Sean,825.73,1078.185,252.455,https://www.youtube.com/watch?v=5m7LnLgvMnM&t=825," Apparently, yeah, I didn't know, but now, you know, the weight is bearing down on my shoulders. Look, the story Eric just told is a kind of wacky and wildly misleading history of physics in the last 50 or 60 years. The idea of quantum gravity is a very natural one because the world runs by the rules of quantum mechanics as far as we know. This is the international year of quantum because it's the 100th anniversary of really figuring out how quantum mechanics works. And the thing about quantum mechanics is it's not a theory by itself. It's a framework in which you can do theories in contrast with classical mechanics from Isaac Newton that came before it. And gravity, our best current theory of gravity from Einstein, the theory of general relativity, is a thoroughgoingly classical theory. Certainly the default expectation is that someday we will better understand gravity at the quantum level. You don't have to think that because you don't have to think anything. You're welcome to come up with better theories. But again, that's the default expectation. If you have a different point of view, there's a certain burden of proof to convince people that it's interesting to contemplate this other point of view. The idea of actually doing the detailed calculations to quantize gravity goes back to at least the 1950s, but it instantly hit roadblocks, and physicists were smart enough to know that it wasn't working the way they wanted it to. The very simple thing you do, if I can get just a little bit detailed for a second here, because people never hear this. And I think it's really, really important to understand why string theory is so popular. If you want to invent a new quantum mechanical theory of the world, the first thing you do is you ask yourself, if I have two particles and they come together and scatter, there's a probability that different things will happen. I'm going to make photons, I'm going to make electrons and positrons or whatever, and you calculate that probability. And the famous triumph of mid-20th century physics was to show that you can do that and get a finite answer. If you're sloppy about it, your answer turns out to be infinity and your theories on the wrong track. Everything that we know about in the physical world has a nice finite answer in this quantum mechanical realm except for gravity. Gravity doesn't fit. And indeed, it was recognized pretty quickly that there was a good reason why gravity doesn't fit, and it was almost impossible to imagine fitting gravity in, namely that gravity interacts with everything. Gravity interacts with photons, with electrons, with quarks, with whatever. And so when you do this scattering experiment, you do the calculation, everything in the universe contributes to the infinitely big answer that you don't want to get. Apparently, what you would need is some kind of miraculous cancellation between all the different contributions from all the different fields. And people looked at that and said, we have no idea how to make that happen. Let's not worry about quantum gravity. And then string theory comes along. And again, it wasn't even trying to be a theory of gravity. But when they do this calculation, the miraculous cancellation happens in string theory. You get a finite answer to what happens when you scatter different particles off of each other. That is right now the only theory in which that miraculous happening actually works. And this was finally put together as a sort of sensible, viable theory in the mid-1980s. And it was a calculation by John Schwartz and Michael Green that showed that the theory did not have what are called anomalies. And you can look up the magazines at the time. Physics today ran an article saying anomaly cancellation launches super string bandwagon. The point is, the reason why I had to go into those details is many, many physicists instantly became interested in string theory and quantum gravity who were not before. But the reason they did is not because Ed Witten is a smart guy and he towers over the field. It's because there was a calculation that showed the theory is promising. Physicists are not sheep. If Ed Witten had said, we should all work on this, but everyone else looked at it and thought it wasn't very promising, he would have been ignored. But since then, there's no competitor to string theory that has had that miraculous feature that string theory has.",Quantum Gravity,The attempt to merge quantum mechanics and general relativity into a single theory that can describe gravity at the quantum level.,Graduate
43,Sean,825.73,1078.185,252.455,https://www.youtube.com/watch?v=5m7LnLgvMnM&t=825," Apparently, yeah, I didn't know, but now, you know, the weight is bearing down on my shoulders. Look, the story Eric just told is a kind of wacky and wildly misleading history of physics in the last 50 or 60 years. The idea of quantum gravity is a very natural one because the world runs by the rules of quantum mechanics as far as we know. This is the international year of quantum because it's the 100th anniversary of really figuring out how quantum mechanics works. And the thing about quantum mechanics is it's not a theory by itself. It's a framework in which you can do theories in contrast with classical mechanics from Isaac Newton that came before it. And gravity, our best current theory of gravity from Einstein, the theory of general relativity, is a thoroughgoingly classical theory. Certainly the default expectation is that someday we will better understand gravity at the quantum level. You don't have to think that because you don't have to think anything. You're welcome to come up with better theories. But again, that's the default expectation. If you have a different point of view, there's a certain burden of proof to convince people that it's interesting to contemplate this other point of view. The idea of actually doing the detailed calculations to quantize gravity goes back to at least the 1950s, but it instantly hit roadblocks, and physicists were smart enough to know that it wasn't working the way they wanted it to. The very simple thing you do, if I can get just a little bit detailed for a second here, because people never hear this. And I think it's really, really important to understand why string theory is so popular. If you want to invent a new quantum mechanical theory of the world, the first thing you do is you ask yourself, if I have two particles and they come together and scatter, there's a probability that different things will happen. I'm going to make photons, I'm going to make electrons and positrons or whatever, and you calculate that probability. And the famous triumph of mid-20th century physics was to show that you can do that and get a finite answer. If you're sloppy about it, your answer turns out to be infinity and your theories on the wrong track. Everything that we know about in the physical world has a nice finite answer in this quantum mechanical realm except for gravity. Gravity doesn't fit. And indeed, it was recognized pretty quickly that there was a good reason why gravity doesn't fit, and it was almost impossible to imagine fitting gravity in, namely that gravity interacts with everything. Gravity interacts with photons, with electrons, with quarks, with whatever. And so when you do this scattering experiment, you do the calculation, everything in the universe contributes to the infinitely big answer that you don't want to get. Apparently, what you would need is some kind of miraculous cancellation between all the different contributions from all the different fields. And people looked at that and said, we have no idea how to make that happen. Let's not worry about quantum gravity. And then string theory comes along. And again, it wasn't even trying to be a theory of gravity. But when they do this calculation, the miraculous cancellation happens in string theory. You get a finite answer to what happens when you scatter different particles off of each other. That is right now the only theory in which that miraculous happening actually works. And this was finally put together as a sort of sensible, viable theory in the mid-1980s. And it was a calculation by John Schwartz and Michael Green that showed that the theory did not have what are called anomalies. And you can look up the magazines at the time. Physics today ran an article saying anomaly cancellation launches super string bandwagon. The point is, the reason why I had to go into those details is many, many physicists instantly became interested in string theory and quantum gravity who were not before. But the reason they did is not because Ed Witten is a smart guy and he towers over the field. It's because there was a calculation that showed the theory is promising. Physicists are not sheep. If Ed Witten had said, we should all work on this, but everyone else looked at it and thought it wasn't very promising, he would have been ignored. But since then, there's no competitor to string theory that has had that miraculous feature that string theory has.",String Theory,"A theoretical framework that attempts to unify the fundamental forces of nature, including gravity, by postulating that particles are one-dimensional strings rather than point-like objects.",Graduate
44,Piers,1078.185,1091.422,13.237,https://www.youtube.com/watch?v=5m7LnLgvMnM&t=1078," And just before I go to Eric to respond to that, your belief is as a result of all this, it is more likely than not that there's a multiverse. There are many other worlds. I'm not misrepresenting your own.",Multiverse,"The idea that there exist multiple universes beyond our own, possibly with different physical laws and properties.",Undergraduate
45,Sean,1092.482,1166.622,74.14,https://www.youtube.com/watch?v=5m7LnLgvMnM&t=1092," Well, you're saying true things for the wrong reasons. It's what philosophers call a Getier problem. I'm a believer in the many worlds interpretation of quantum mechanics. That's a question about the foundations of quantum mechanics, which again goes back to the 1950s. But that is more or less separate from the question of which model within the world of quantum mechanics is the right one. Is it field theory? Is it string theory? Is it loop quantum gravity? Is it something else? So I do believe that the best understanding of quantum mechanics we have right now implies the existence of parallel universes. Again, that could be true. And if we have a better theory that comes along, I'm happy to change my mind. There's also a separate idea of the multiverse that comes with combining string theory with inflationary cosmology, a scenario of what happened very close to the Big Bang. So those are two different ideas about the multiverse. Many worlds of quantum mechanics says literally every time I make a quantum measurement, now there's two worlds in which different measurement outcomes were obtained. The string theory multiverse says very, very, very far away in cosmological distance, there's a patch of space where conditions look remarkably different than they do here.",Many Worlds Interpretation,"A quantum mechanics concept suggesting every time a measurement is made, two worlds are created with different outcomes.",Undergraduate
45,Sean,1092.482,1166.622,74.14,https://www.youtube.com/watch?v=5m7LnLgvMnM&t=1092," Well, you're saying true things for the wrong reasons. It's what philosophers call a Getier problem. I'm a believer in the many worlds interpretation of quantum mechanics. That's a question about the foundations of quantum mechanics, which again goes back to the 1950s. But that is more or less separate from the question of which model within the world of quantum mechanics is the right one. Is it field theory? Is it string theory? Is it loop quantum gravity? Is it something else? So I do believe that the best understanding of quantum mechanics we have right now implies the existence of parallel universes. Again, that could be true. And if we have a better theory that comes along, I'm happy to change my mind. There's also a separate idea of the multiverse that comes with combining string theory with inflationary cosmology, a scenario of what happened very close to the Big Bang. So those are two different ideas about the multiverse. Many worlds of quantum mechanics says literally every time I make a quantum measurement, now there's two worlds in which different measurement outcomes were obtained. The string theory multiverse says very, very, very far away in cosmological distance, there's a patch of space where conditions look remarkably different than they do here.",Quantum Mechanics,A branch of physics dealing with the behavior of matter and energy at an atomic and subatomic level.,High School
45,Sean,1092.482,1166.622,74.14,https://www.youtube.com/watch?v=5m7LnLgvMnM&t=1092," Well, you're saying true things for the wrong reasons. It's what philosophers call a Getier problem. I'm a believer in the many worlds interpretation of quantum mechanics. That's a question about the foundations of quantum mechanics, which again goes back to the 1950s. But that is more or less separate from the question of which model within the world of quantum mechanics is the right one. Is it field theory? Is it string theory? Is it loop quantum gravity? Is it something else? So I do believe that the best understanding of quantum mechanics we have right now implies the existence of parallel universes. Again, that could be true. And if we have a better theory that comes along, I'm happy to change my mind. There's also a separate idea of the multiverse that comes with combining string theory with inflationary cosmology, a scenario of what happened very close to the Big Bang. So those are two different ideas about the multiverse. Many worlds of quantum mechanics says literally every time I make a quantum measurement, now there's two worlds in which different measurement outcomes were obtained. The string theory multiverse says very, very, very far away in cosmological distance, there's a patch of space where conditions look remarkably different than they do here.",String Theory,A theoretical framework in physics attempting to reconcile quantum mechanics and general relativity by postulating that particles are one-dimensional strings rather than point-like objects.,Graduate
45,Sean,1092.482,1166.622,74.14,https://www.youtube.com/watch?v=5m7LnLgvMnM&t=1092," Well, you're saying true things for the wrong reasons. It's what philosophers call a Getier problem. I'm a believer in the many worlds interpretation of quantum mechanics. That's a question about the foundations of quantum mechanics, which again goes back to the 1950s. But that is more or less separate from the question of which model within the world of quantum mechanics is the right one. Is it field theory? Is it string theory? Is it loop quantum gravity? Is it something else? So I do believe that the best understanding of quantum mechanics we have right now implies the existence of parallel universes. Again, that could be true. And if we have a better theory that comes along, I'm happy to change my mind. There's also a separate idea of the multiverse that comes with combining string theory with inflationary cosmology, a scenario of what happened very close to the Big Bang. So those are two different ideas about the multiverse. Many worlds of quantum mechanics says literally every time I make a quantum measurement, now there's two worlds in which different measurement outcomes were obtained. The string theory multiverse says very, very, very far away in cosmological distance, there's a patch of space where conditions look remarkably different than they do here.",Inflationary Cosmology,"A theory of the early universe proposing a rapid expansion in the first fraction of a second after the Big Bang, smoothing out any irregularities and explaining the homogeneity of the universe.",Graduate
45,Sean,1092.482,1166.622,74.14,https://www.youtube.com/watch?v=5m7LnLgvMnM&t=1092," Well, you're saying true things for the wrong reasons. It's what philosophers call a Getier problem. I'm a believer in the many worlds interpretation of quantum mechanics. That's a question about the foundations of quantum mechanics, which again goes back to the 1950s. But that is more or less separate from the question of which model within the world of quantum mechanics is the right one. Is it field theory? Is it string theory? Is it loop quantum gravity? Is it something else? So I do believe that the best understanding of quantum mechanics we have right now implies the existence of parallel universes. Again, that could be true. And if we have a better theory that comes along, I'm happy to change my mind. There's also a separate idea of the multiverse that comes with combining string theory with inflationary cosmology, a scenario of what happened very close to the Big Bang. So those are two different ideas about the multiverse. Many worlds of quantum mechanics says literally every time I make a quantum measurement, now there's two worlds in which different measurement outcomes were obtained. The string theory multiverse says very, very, very far away in cosmological distance, there's a patch of space where conditions look remarkably different than they do here.",Loop Quantum Gravity,A theoretical framework attempting to merge quantum mechanics and general relativity by describing spacetime as a network of discrete loops rather than a continuous fabric.,Graduate
46,Piers,1167.138,1224.67,57.532,https://www.youtube.com/watch?v=5m7LnLgvMnM&t=1167," If you're struggling with sleepless nights and exhausting days, you might want to try Beam's Dream powder. Beam is proudly founded in America and run by people who value hard work, integrity and delivering results. It's a healthy nighttime blend packed with science-backed ingredients to improve your sleep, so you can wake up refreshed and ready to take on the day. Dream is a powerful blend of all natural ingredients, Rishi, Apigenin, L-theonine, melatonin, and magnesium. It's designed to help you fall asleep and just stay asleep. We've teamed up to give you a massive discount of up to 40% for a limited time. So go to shopbeam.com slash peers, P-I-E-R-S, and use promo code peers at the checkout. That's shop, B-E-A-M dot com slash peers. Use promo code peers for up to 40% off. Sleep better, wake up stronger, and show up ready for your family, your work, and your country too.",,,
47,Piers,1225.89,1227.038,1.148,https://www.youtube.com/watch?v=5m7LnLgvMnM&t=1225," Okay, Eric.",,,
48,Piers,1227.682,1228.478,0.796,https://www.youtube.com/watch?v=5m7LnLgvMnM&t=1227, Your response.,Kinematics,The study of motion without considering forces.,High School
48,Piers,1227.682,1228.478,0.796,https://www.youtube.com/watch?v=5m7LnLgvMnM&t=1227, Your response.,Velocity,A measure of an object's speed in a specific direction.,High School
49,Eric,1228.93,1246.398,17.468,https://www.youtube.com/watch?v=5m7LnLgvMnM&t=1228," Yeah, I just got completely mis-p portrayed, and this is actually, I'm glad that this is happening because this is sort of what happens when you tangle with the group of people who are supportive of this program. I did not say what I think Sean is choosing to either infer incorrectly or imply",,,
50,Eric,1246.946,1269.886,22.94,https://www.youtube.com/watch?v=5m7LnLgvMnM&t=1246," that somehow the world is not quantum mechanical or quantum field theoretic and that somehow gravity is given a hall pass to go home and enjoy a relaxation where everyone else has to work hard. What I said was that the idea of forcing gravity to submit to the same quantization procedures that have been successfully applied to other forces and to matter,",Quantum Field Theory,A theoretical framework in physics that combines classical field theory with quantum mechanics.,Undergraduate
50,Eric,1246.946,1269.886,22.94,https://www.youtube.com/watch?v=5m7LnLgvMnM&t=1246," that somehow the world is not quantum mechanical or quantum field theoretic and that somehow gravity is given a hall pass to go home and enjoy a relaxation where everyone else has to work hard. What I said was that the idea of forcing gravity to submit to the same quantization procedures that have been successfully applied to other forces and to matter,",Quantization,"The process of replacing continuous physical quantities with discrete values, often used to describe the behavior of particles at the atomic and subatomic level.",High School
50,Eric,1246.946,1269.886,22.94,https://www.youtube.com/watch?v=5m7LnLgvMnM&t=1246," that somehow the world is not quantum mechanical or quantum field theoretic and that somehow gravity is given a hall pass to go home and enjoy a relaxation where everyone else has to work hard. What I said was that the idea of forcing gravity to submit to the same quantization procedures that have been successfully applied to other forces and to matter,",Gravity,A fundamental force of nature that causes objects with mass to attract each other.,High School
51,Eric,1270.434,1276.894,6.46,https://www.youtube.com/watch?v=5m7LnLgvMnM&t=1270, has not worked. It has stagnated the field and that quantum harmonization,Quantum Harmonization,"A hypothetical concept in physics, possibly related to quantum mechanics or wave-particle duality.",Graduate
51,Eric,1270.434,1276.894,6.46,https://www.youtube.com/watch?v=5m7LnLgvMnM&t=1270, has not worked. It has stagnated the field and that quantum harmonization,Stagnation in a field,A phenomenon where progress or innovation is hindered or slowed down.,High School
52,Eric,1277.89,1360.094,82.204,https://www.youtube.com/watch?v=5m7LnLgvMnM&t=1277," is far more important. You could also decide to geometrize the quantum rather than quantize gravity and thus quantize the geometry. So because Sean's framework precludes somebody saying something outside the framework, the inference is that someone ignorantly just said that gravity can be kept out of the quantum framework, which I absolutely don't say. You'll also notice that Sean did not choose to take issue with the fact that one of these is a gauge theory and another one isn't a gauge theory, and so that there is a problem with gauging gravity and what that means, and the fact that we're getting no actual progress in the harmonization of gravity with the quantum that can give us a green light and tell us where we're going. Like, I would happily see to Sean all sorts of things, like the string theorists are by far the smarter group of all people trying to go beyond the standard model in general relativity. I would further see that if the task is to quantize gravity directly, the string theorists and the string theory program have been more successful. But what you just saw is an example of what is actually going catastrophically wrong in the field, that a dominant narrative that has been perseverated into an as-if reality has created two teams, a smart team that gets it and a dumb team that just doesn't.",Quantization of Gravity,The process of applying quantum mechanics to the theory of gravity.,Graduate
52,Eric,1277.89,1360.094,82.204,https://www.youtube.com/watch?v=5m7LnLgvMnM&t=1277," is far more important. You could also decide to geometrize the quantum rather than quantize gravity and thus quantize the geometry. So because Sean's framework precludes somebody saying something outside the framework, the inference is that someone ignorantly just said that gravity can be kept out of the quantum framework, which I absolutely don't say. You'll also notice that Sean did not choose to take issue with the fact that one of these is a gauge theory and another one isn't a gauge theory, and so that there is a problem with gauging gravity and what that means, and the fact that we're getting no actual progress in the harmonization of gravity with the quantum that can give us a green light and tell us where we're going. Like, I would happily see to Sean all sorts of things, like the string theorists are by far the smarter group of all people trying to go beyond the standard model in general relativity. I would further see that if the task is to quantize gravity directly, the string theorists and the string theory program have been more successful. But what you just saw is an example of what is actually going catastrophically wrong in the field, that a dominant narrative that has been perseverated into an as-if reality has created two teams, a smart team that gets it and a dumb team that just doesn't.",Gauge Theory,A theoretical framework in physics that describes how particles interact with each other through symmetries.,Undergraduate
52,Eric,1277.89,1360.094,82.204,https://www.youtube.com/watch?v=5m7LnLgvMnM&t=1277," is far more important. You could also decide to geometrize the quantum rather than quantize gravity and thus quantize the geometry. So because Sean's framework precludes somebody saying something outside the framework, the inference is that someone ignorantly just said that gravity can be kept out of the quantum framework, which I absolutely don't say. You'll also notice that Sean did not choose to take issue with the fact that one of these is a gauge theory and another one isn't a gauge theory, and so that there is a problem with gauging gravity and what that means, and the fact that we're getting no actual progress in the harmonization of gravity with the quantum that can give us a green light and tell us where we're going. Like, I would happily see to Sean all sorts of things, like the string theorists are by far the smarter group of all people trying to go beyond the standard model in general relativity. I would further see that if the task is to quantize gravity directly, the string theorists and the string theory program have been more successful. But what you just saw is an example of what is actually going catastrophically wrong in the field, that a dominant narrative that has been perseverated into an as-if reality has created two teams, a smart team that gets it and a dumb team that just doesn't.",General Relativity,"A fundamental theory of gravitation developed by Albert Einstein, which describes gravity as the curvature of spacetime caused by mass and energy.",High School
52,Eric,1277.89,1360.094,82.204,https://www.youtube.com/watch?v=5m7LnLgvMnM&t=1277," is far more important. You could also decide to geometrize the quantum rather than quantize gravity and thus quantize the geometry. So because Sean's framework precludes somebody saying something outside the framework, the inference is that someone ignorantly just said that gravity can be kept out of the quantum framework, which I absolutely don't say. You'll also notice that Sean did not choose to take issue with the fact that one of these is a gauge theory and another one isn't a gauge theory, and so that there is a problem with gauging gravity and what that means, and the fact that we're getting no actual progress in the harmonization of gravity with the quantum that can give us a green light and tell us where we're going. Like, I would happily see to Sean all sorts of things, like the string theorists are by far the smarter group of all people trying to go beyond the standard model in general relativity. I would further see that if the task is to quantize gravity directly, the string theorists and the string theory program have been more successful. But what you just saw is an example of what is actually going catastrophically wrong in the field, that a dominant narrative that has been perseverated into an as-if reality has created two teams, a smart team that gets it and a dumb team that just doesn't.",Standard Model,"A theoretical framework in particle physics that describes the behavior of fundamental particles and forces, excluding gravity.",Undergraduate
53,Eric,1360.738,1375.934,15.196,https://www.youtube.com/watch?v=5m7LnLgvMnM&t=1360," And that kind of toxic sociology is the true problem. And my guess is that that will recur multiple times during this thing, is that I will not be heard and that Sean will continue to have a version of Eric that lives in his head.",,,
54,Eric,1376.482,1379.838,3.356,https://www.youtube.com/watch?v=5m7LnLgvMnM&t=1376, which shares my name but not my understanding nor my beliefs.,Identity,"A concept in philosophy that refers to the idea of a shared identity between two or more entities, despite differences in understanding and beliefs.",Undergraduate
55,Piers,1380.322,1443.07,62.748,https://www.youtube.com/watch?v=5m7LnLgvMnM&t=1380," And that is, of course, if we get past the hurdle of whether we're all here at all. Now, Eric, you've come up with an alternative. Theory of everything. It's based around geometric unity. And my understanding is it's a proposed framework aiming to unify the fundamental forces of nature, including gravity and quantum mechanics, within a single geometric structure, introducing a 14-dimensional manifold that extends space-time and embeds known particles and forces into a larger mathematical context. And the observation we had here in the research is that while ambitious, the theory remains largely unpublished and peer-reviewed literature has not yet been formally tested or widely accepted by the physics community. Now, because you're so smart about this stuff, your geometric unity paper is 69 pages long, extremely complex, way over my head. So we did what everyone in my position does these days. We went on to YouTube and saw if we could find anybody who'd analyzed it and had a conclusion. And we found this.",Theory of Everything,"A proposed framework aiming to unify fundamental forces, including gravity and quantum mechanics, within a single geometric structure.",Graduate
55,Piers,1380.322,1443.07,62.748,https://www.youtube.com/watch?v=5m7LnLgvMnM&t=1380," And that is, of course, if we get past the hurdle of whether we're all here at all. Now, Eric, you've come up with an alternative. Theory of everything. It's based around geometric unity. And my understanding is it's a proposed framework aiming to unify the fundamental forces of nature, including gravity and quantum mechanics, within a single geometric structure, introducing a 14-dimensional manifold that extends space-time and embeds known particles and forces into a larger mathematical context. And the observation we had here in the research is that while ambitious, the theory remains largely unpublished and peer-reviewed literature has not yet been formally tested or widely accepted by the physics community. Now, because you're so smart about this stuff, your geometric unity paper is 69 pages long, extremely complex, way over my head. So we did what everyone in my position does these days. We went on to YouTube and saw if we could find anybody who'd analyzed it and had a conclusion. And we found this.",Geometric Unity,A mathematical concept introducing a 14-dimensional manifold that extends space-time and embeds particles and forces into a larger context.,Graduate
56,Sean,1444.226,1448.606,4.38,https://www.youtube.com/watch?v=5m7LnLgvMnM&t=1444, Thank you to Eric Weinstein. It's an avant-garde and creative theory.,Geometric Algebra,A mathematical framework that generalizes classical vector algebra by incorporating geometric properties.,Graduate
57,Sean,1449.378,1450.503,1.125,https://www.youtube.com/watch?v=5m7LnLgvMnM&t=1449," Kurt here, several months.",,,
58,Eric,1450.503,1451.253,0.75,https://www.youtube.com/watch?v=5m7LnLgvMnM&t=1450, months later.,,,
59,Sean,1451.253,1452.753,1.5,https://www.youtube.com/watch?v=5m7LnLgvMnM&t=1451, This has been so long in the,,,
60,Piers,1452.753,1453.503,0.75,https://www.youtube.com/watch?v=5m7LnLgvMnM&t=1452, making Jesus.,,,
61,Sean,1453.503,1460.195,6.692,https://www.youtube.com/watch?v=5m7LnLgvMnM&t=1453," You have no idea. Anyhow, I wanted to say that I mean what I just said. I may have said this before in the iceberg, and if I haven't,",,,
62,Eric,1460.195,1461.695,1.5,https://www.youtube.com/watch?v=5m7LnLgvMnM&t=1460, I should have because it,Kinematics,Describes the motion of objects without considering forces that cause the motion.,High School
62,Eric,1460.195,1461.695,1.5,https://www.youtube.com/watch?v=5m7LnLgvMnM&t=1460, I should have because it,Velocity,A measure of an object's speed in a specific direction.,High School
63,Sean,1461.695,1466.494,4.799,https://www.youtube.com/watch?v=5m7LnLgvMnM&t=1461," bears repeating, I haven't seen a theory like this come from any single individual",Eureka Moment,A sudden realization or discovery of a new idea or concept.,High School
63,Sean,1461.695,1466.494,4.799,https://www.youtube.com/watch?v=5m7LnLgvMnM&t=1461," bears repeating, I haven't seen a theory like this come from any single individual",Theory Development,"The process of creating and refining a scientific theory through observation, experimentation, and analysis.",Undergraduate
64,Eric,1466.722,1469.205,2.483,https://www.youtube.com/watch?v=5m7LnLgvMnM&t=1466," ever, not one that's this fleshed out,",Energy,related to work and motion,High School
64,Eric,1466.722,1469.205,2.483,https://www.youtube.com/watch?v=5m7LnLgvMnM&t=1466," ever, not one that's this fleshed out,",Kinematics,study of motion without considering forces,Undergraduate
65,Sean,1469.205,1471.455,2.25,https://www.youtube.com/watch?v=5m7LnLgvMnM&t=1469, or has this amount of unexampled,Proportionality,Relationship between two quantities where one is directly proportional to the other.,High School
66,Eric,1471.455,1474.421,2.966,https://www.youtube.com/watch?v=5m7LnLgvMnM&t=1471, connections within itself as well as to what's,Self-Reference,"A concept in mathematics and logic where a system or structure refers to itself, often leading to paradoxes.",Undergraduate
66,Eric,1471.455,1474.421,2.966,https://www.youtube.com/watch?v=5m7LnLgvMnM&t=1471, connections within itself as well as to what's,Topology,"The study of the properties of shapes and spaces that are preserved under continuous deformations, such as stretching and bending.",High School
67,Piers,1474.421,1475.171,0.75,https://www.youtube.com/watch?v=5m7LnLgvMnM&t=1474, known as the,Constants and Variables,"In mathematics, constants are values that do not change, while variables are symbols used to represent unknown values.",High School
68,Eric,1475.171,1477.421,2.25,https://www.youtube.com/watch?v=5m7LnLgvMnM&t=1475, theoretical physics backbone that we talked,Quantum Mechanics,Fundamental theory describing the behavior of matter and energy at the smallest scales.,Undergraduate
68,Eric,1475.171,1477.421,2.25,https://www.youtube.com/watch?v=5m7LnLgvMnM&t=1475, theoretical physics backbone that we talked,Relativity,"Theory explaining how space and time are intertwined, and how gravity affects objects with mass.",High School
69,Sean,1477.421,1478.142,0.721,https://www.youtube.com/watch?v=5m7LnLgvMnM&t=1477, earlier.,,,
70,Piers,1479.17,1486.11,6.94,https://www.youtube.com/watch?v=5m7LnLgvMnM&t=1479," Now, Eric, there's lots of people doing stuff like that about it. Why do you think that the mainstream...",,,
71,Piers,1486.914,1489.63,2.716,https://www.youtube.com/watch?v=5m7LnLgvMnM&t=1486, physics world is not taking this seriously enough.,,,
72,Eric,1491.394,1503.742,12.348,https://www.youtube.com/watch?v=5m7LnLgvMnM&t=1491," Well, first of all, I disagree. You see, part of what's going on is that Sean is part of a group of physics influencers who are constantly spreading misinformation, which leads to a climate of fear.",Climate of Fear,A state where people become anxious or fearful due to the spread of misinformation.,High School
72,Eric,1491.394,1503.742,12.348,https://www.youtube.com/watch?v=5m7LnLgvMnM&t=1491," Well, first of all, I disagree. You see, part of what's going on is that Sean is part of a group of physics influencers who are constantly spreading misinformation, which leads to a climate of fear.",Misinformation,"False information that is spread, often intentionally, to deceive or mislead others.",Middle School
73,Eric,1504.29,1525.31,21.02,https://www.youtube.com/watch?v=5m7LnLgvMnM&t=1504," You know, I, for example, found the following quote of Sean. What I really, really want to get across to the audience is that nobody in physics departments is discussing this with other people in physics departments. Now, I don't happen to be coming to you from a physics department at the moment, but I happen to be on a five-day visit",,,
74,Eric,1525.922,1527.966,2.044,https://www.youtube.com/watch?v=5m7LnLgvMnM&t=1525," to a leading physics department,",Physics Department,A department that specializes in the study of physical phenomena and laws.,Undergraduate
75,Eric,1528.514,1562.782,34.268,https://www.youtube.com/watch?v=5m7LnLgvMnM&t=1528," And in this situation, I just had a nine-hour conversation and talk with three hours or four hours, rather, of that being an explication of geometric unity. What Sean is doing constantly is attempting to say, look, let's do some pattern matching. We have a man generously in midlife. He's not trained in the subject. He doesn't appear to accept the quantum gravity program. He appears to be possessed of the idea that a single individual Ed Witten caused all sorts of people who aren't cheap",Geometric Unity,"A theoretical framework in physics attempting to unify general relativity and quantum mechanics, proposed by Erik Verlinde.",Graduate
75,Eric,1528.514,1562.782,34.268,https://www.youtube.com/watch?v=5m7LnLgvMnM&t=1528," And in this situation, I just had a nine-hour conversation and talk with three hours or four hours, rather, of that being an explication of geometric unity. What Sean is doing constantly is attempting to say, look, let's do some pattern matching. We have a man generously in midlife. He's not trained in the subject. He doesn't appear to accept the quantum gravity program. He appears to be possessed of the idea that a single individual Ed Witten caused all sorts of people who aren't cheap",Pattern Matching,A technique used in mathematics and computer science to identify and describe common patterns or structures within data.,High School
75,Eric,1528.514,1562.782,34.268,https://www.youtube.com/watch?v=5m7LnLgvMnM&t=1528," And in this situation, I just had a nine-hour conversation and talk with three hours or four hours, rather, of that being an explication of geometric unity. What Sean is doing constantly is attempting to say, look, let's do some pattern matching. We have a man generously in midlife. He's not trained in the subject. He doesn't appear to accept the quantum gravity program. He appears to be possessed of the idea that a single individual Ed Witten caused all sorts of people who aren't cheap",Quantum Gravity,"Theoretical framework that attempts to merge quantum mechanics and general relativity, describing the behavior of gravity at the smallest scales.",Undergraduate
76,Eric,1563.458,1571.294,7.836,https://www.youtube.com/watch?v=5m7LnLgvMnM&t=1563, to cohere into a single framework that has been perseverated and doesn't seem to produce fruit.,,,
77,Eric,1572.834,1585.758,12.924,https://www.youtube.com/watch?v=5m7LnLgvMnM&t=1572," He has a telling of the tale that is, first of all, just not courageous. It's at odds with reality. From my experiences in this physics department, what I can tell you is that",Physics,"Study of the natural world around us, including energy, motion, and forces.",Undergraduate
78,Eric,1586.498,1618.27,31.772,https://www.youtube.com/watch?v=5m7LnLgvMnM&t=1586," We have a situation in which everybody sees the problems. And so when Sean does a four-hour podcast, which I think maybe three hours I'd recommend to anybody, because Sean is one of the best explainers and also extremely good at mathematics and keeping true to actual physics in terms of his understanding, you know, he then goes into this thing that there is no crisis in theoretical physics. And as one of my physics colleagues said last night, the first rule of physics fight club is don't talk about the problems with physics fight club.",Crisis in Theoretical Physics,"A perceived or actual problem within the field of theoretical physics, often related to unsolved fundamental questions or inconsistencies.",Undergraduate
